rank	doi	journal	publication_date	pubmed_id	title
92	10.1080/2162402X.2015.1046028	Oncoimmunology	2015-10-10	26451318|15701862|23421690|16636135|22560555|19934295|25083318|14967443|18713980|25667295|24563870|20525992|21802280|21639810|13042090|17590405|23036459|19706802|11504745|24831977|19349616|24399786|20334528|23291374|22397654|22702482	A systematic evaluation of abscopal responses following radiotherapy in patients with metastatic melanoma treated with ipilimumab.
93	10.3389/fonc.2015.00202	Frontiers in oncology	2015-10-07	26442214|23724867|12529460|24778276|16186184|18193223|10537366|19949018|15637262|23438382|22549946|18157142|15585754|9570538|15776005|25891304|12586633|17671171|15611243|9059333|19364969|23108136|17699863|16179869|8640769|8756616|23440426|18725522|17121902|20631075|17008531|25756799|21553145|10667560|16557261|19090009|22123319|17376891|12682289|24793239|22186141|20819923|11444391|8837607|17013089|20680802|26027431|21753853|22737608|20004943|24838938|23320019|15542432|11507079|21880788|9834220	Inhibition of Immune Checkpoints and Vascular Endothelial Growth Factor as Combination Therapy for Metastatic Melanoma: An Overview of Rationale, Preclinical Evidence, and Initial Clinical Data.
94	10.1186/s13148-015-0091-3	Clinical epigenetics	2015-07-30	26221190|12115352|18272813|23982524|23457546|21885763|21817016|23008312|22663011|25119042|23805382|12068308|24511108|24504448|25609585|12447372|22157888|23045699|24980573|22945644|25151357|24569915|25112956|20513808|24453001|22494115|12789284|20525992|21778364|22817889|23550210|20973930|16912270|25399552|25081754|22693592|23858473|21639808|17218268|24169492|19228619|21896958|24872541|25414302|25188246|23348506|24978641|22588877|25393105|24265153|24686846|20421734|24763540|24978188|18821855|23630074|22980977|24628946|24880940|24710217|25517746|15188009|23020132|24511111|24622842	Targeted next-generation sequencing reveals high frequency of mutations in epigenetic regulators across treatment-naïve patient melanomas.
95	10.1158/2326-6066.CIR-15-0102	Cancer immunology research	2015-06-24	26100356|17875755|23724867|7694363|25416723|1396582|11813820|23400564|23410907|25034862|22658127|19934295|22614989|25538262|22109345|25078147|22451534|23408334|24610577|20177110|18852719|25619164|12601214|8596936|23718569|23913718|21785048|20525992|25704439|21639810|25726730|11015443|24590637|18832811|3496540|22271879|22547608|19139884|23460165|12682289|19200680|25614822|23439861|21074064|24278787|24838938	Radiographic Profiling of Immune-Related Adverse Events in Advanced Melanoma Patients Treated with Ipilimumab.
96	10.1158/2326-6066.CIR-15-0066	Cancer immunology research	2015-05-07	25943535|25559415|21639810|22451534|2984574|3141506|1460426|8171324|10430077|15833068|19097774|19903780|19934295|19639560|20651182|20525992|20818862|21108592|25369488	Single Institution Experience of Ipilimumab 3 mg/kg with Sargramostim (GM-CSF) in Metastatic Melanoma.
97	10.1056/NEJMoa1414428	The New England journal of medicine	2015-04-22	25891304|25399551|23724867|20160101|25287827|22382362|25428505|22658127|25265492|20525992|23414587|25399552|21639810|19097774|21639808|24508103|22123319|24240160|25265494|24714771|23020132	Nivolumab and ipilimumab versus ipilimumab in untreated melanoma.
98	10.18632/oncotarget.2980	Oncotarget	2015-02-17	25682878|25210016|11078491|23724867|24777248|24695685|24991413|22356324|24812408|25034862|22658127|19934295|23169436|22614989|23868869|23709751|21739672|23087408|22742884|25667295|21185705|18500231|10561265|25977344|20525992|18759926|11267960|24829752|21074069|22663011|19581407|23020132|23724846|25399552|21639810|22437870|24695951|7670677|23774827|24590637|18173375|21639808|22611421|22271879|24145345|22735384|22419253|20143434|23439861|23295794|24278787|22266112|17897837	PD-1 pathway inhibitors: the next generation of immunotherapy for advanced melanoma.
99	10.1158/2326-6066.CIR-14-0202	Cancer immunology research	2015-01-31	25633712|23032745|24445780|15068864|20194765|16670346|16056255|17625806|19660592|15840697|12138174|18566444|24777970|15064759|23086756|9892619|23110239|19435913|23085951|12488431|12900270|18927625|15623618|24739759|15252201|21872627|9918682|19074257|23885825|24083080|21933959|18799141|18682521|20693851|23205468|15229469|21061265|24622688|17517626|19114863|20563267|15454922|24127556|22795876|16838179|22246032|10555997	Resiquimod as an immunologic adjuvant for NY-ESO-1 protein vaccination in patients with high-risk melanoma.
100	10.1158/1078-0432.CCR-14-2353	Clinical cancer research : an official journal of the American Association for Cancer Research	2014-12-30	25538262|11244047|25187037|10449568|15634713|22138079|22658127|22614989|23471977|16224277|16710025|17982122|19165221|19498038|19639414|20585348|20525992|22456429|23400564|23724846|23779068|23806261|24610577|24695685|24451730|25369488|25078147|11478060	Systemic high-dose corticosteroid treatment does not improve the outcome of ipilimumab-related hypophysitis: a retrospective cohort study.
101	10.1007/s40265-014-0315-4	Drugs	2014-11-22	25414119|14688025|21519015|22589270|24138302|21953275|24265154|20668238|16364920|21118963|22315332|22663011|22084396|21107320|18390968|21519026|12628188|22443084|24567366|12068308|19934286|24010577|23434733|22197931|19706763|16291983|16337795|23735655|16273091|15543157|23735514|22048237|20215549|7692235|21594619|23306863|23444215|19243303|23261356|22588879|11242034|17428555|19433088|23200175|20179705|20127139|16009947|17785355|24746704|8774885|22241789|17075039|17332304|20130576|23406027|23414587|21483012|27424159|21779498|21444680|21383288|14991899|19029981|21523318|17237274|21383284|18632602|19567590|2547513|23934108|15035987|22506516|12670889|12509763|8157000|24947927|15958551|19251651|7499206|20179232|9727023|18381570|18562239|20802351|22496205|23629727|11943707|21900390|24265153|22510884|10490027|19915144|21245089|22805292|21705440|18676837|20331454|20920162|23020132|23153539|12644542|1501884|22805291|22538770	The biology and clinical development of MEK inhibitors for cancer.
102	10.1200/JCO.2013.54.8115	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	2014-10-01	25267741|12778055|17284525|16489096|21469128|22891158|22356324|22663011|14696973|16644914|12590137|22658127|17947650|22649126|17475886|19833906|2702835|18803412|18381073|17541593|23626745|20818844|20525992|9443633|23656629|14568261|20215530|21639810|21172893|7814155|21639808|20711474|11114299|20375921|21047225|9262252|19383330|16609006|23323154|20570888|19320736|17951401|22658128	Phase I/II study of the antibody-drug conjugate glembatumumab vedotin in patients with advanced melanoma.
103	10.2147/DHPS.S39568	Drug, healthcare and patient safety	2014-07-16	25018652|23724867|20004617|22113612|24138302|24265154|20668238|22270052|20551059|24089443|22663011|21107320|23051966|22256804|22658127|12068308|24183461|16291983|23709751|22389471|24577748|11504744|23306863|15014028|22395615|20179705|17785355|21343559|22763439|20525992|20130576|21483012|14559875|21383288|14991899|21523318|23724846|21383284|21639810|23248257|7670677|24114739|12670889|24590637|21639808|24265152|24508103|20187100|23550685|3312689|22735384|21502504|24265155|12365954|11943707|21900390|24265153|20147741|22608338|19671877|22805292|22083257|20864406|20141835|23020132|12644542|21856766|22067401|21107323|22805291|22538770|14679157	New developments in the treatment of metastatic melanoma - role of dabrafenib-trametinib combination therapy.
104	10.1158/2326-6066.CIR-13-0227	Cancer immunology research	2014-06-05	24894089|15695408|16287085|15048111|16322791|7652577|7644523|15614045|11160356|8673703|11325844|24090147|10602881|10820291|23690473|21986107|10582700|11358829|22052568|18221540|23258224|8642260|1417196|22842478|12771180|23770567|2021952|23644516|19884534|21047511|17409267|1323878|1323877|21216894|21478437|10064075|15705910|9823325|15128789|24043743|24777245|9461441|12747754|16497972|9892612|12947071|9637538|12473578|16247014|22237626|16391015|11448900|9973436	HLA-binding properties of tumor neoepitopes in humans.
105	10.1016/j.hoc.2014.02.008	Hematology/oncology clinics of North America	2014-06-02	24880947	Vaccines and melanoma.
106	None	Voprosy onkologii	2013-11-23	24260888	[Immediate results of combined treatment for soft tissue sarcomas including intraoperative radiation therapy].
107	10.3389/fimmu.2013.00346	Frontiers in immunology	2013-11-07	24194739|23724867|23483066|15128788|11568005|20551059|22356324|17641062|22663011|21107320|16801397|22693252|11099416|23307859|22658127|21086108|18628967|22475929|21169256|22355009|23306863|18180378|17186030|20818844|22226204|19197294|22763439|20525992|21159663|21383288|23724846|21088259|21639810|22156613|23204132|23335087|11238627|20959481|21639808|18008004|19244105|10910920|21730023|17050671|22805292|17308088|14702634|16581970|21156289|23020132|22658128|21107323|22805291	Impact of MAPK Pathway Activation in BRAF(V600) Melanoma on T Cell and Dendritic Cell Function.
108	10.1517/14656566.2013.849244	Expert opinion on pharmacotherapy	2013-10-22	24138302	Kinase inhibitors and immune check-point blockade for the treatment of metastatic melanoma and advanced cancer: synergistic or antagonistic?
109	10.1158/1078-0432.CCR-13-0143	Clinical cancer research : an official journal of the American Association for Cancer Research	2013-10-04	24089443	CTLA-4 and PD-1/PD-L1 blockade: new immunotherapeutic modalities with durable clinical benefit in melanoma patients.
110	10.1002/cncr.28282	Cancer	2013-08-06	23913718|12218599|23439861|12750097|14578381|8540843|8635073|9508371|9591028|9820172|16258106|18569391|19078957|19654573|19671877|19934295|20004617|20143434|20525992|21880788|21833591|22077981|22805292|23226204|23211837|12373596	Clinical activity of ipilimumab for metastatic uveal melanoma: a retrospective review of the Dana-Farber Cancer Institute, Massachusetts General Hospital, Memorial Sloan-Kettering Cancer Center, and University Hospital of Lausanne experience.
111	None	Vestnik khirurgii imeni I. I. Grekova	2013-07-03	23808238	[Results of combined treatment with intraoperative radial therapy of soft tissue sarcoma].
112	None	Klinicheskaia meditsina	2013-06-26	23789456	[Long-term results of combined treatment of soft tissue sarcoma with the use of intraoperative radiotherapy].
113	10.1634/theoncologist.2012-0464	The oncologist	2013-05-30	23716015|11891956|22180178|12068308|14679157|15042682|15577323|16291983|16908931|17122627|17372901|18066592|19006261|18798304|19296537|19381944|19549917|19671877|19934295|20004617|20133697|20525992|20082117|21471822|21639808|21639810|22382362	Ipilimumab for patients with advanced mucosal melanoma.
114	None	Oncology (Williston Park, N.Y.)	2013-05-15	25184259	Treatment for advanced melanoma: new drugs, new opportunities, new challenges.
115	10.1007/s11060-013-1127-1	Journal of neuro-oncology	2013-04-13	23579338|15020614|15051777|22356324|23051966|12507084|12068308|22820413|15234044|16291983|22188003|15169796|22456429|20823850|21639808|17538177|18792064|22608338|18841050|15861414|22454535|20372154|21295875|23036672	Vemurafenib and radiation therapy in melanoma brain metastases.
116	10.1200/JCO.2012.44.7888	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	2013-04-10	23569304	Pharmacodynamic effects and mechanisms of resistance to vemurafenib in patients with metastatic melanoma.
117	10.1097/CMR.0b013e32835f3d90	Melanoma research	2013-03-07	23462208	Ipilimumab in melanoma with limited brain metastases treated with stereotactic radiosurgery.
118	10.3978/j.issn.2304-3865.2012.11.05	Chinese clinical oncology	2013-03-01	25841448	The B7-H1/PD-1 pathway in cancers associated with infections and inflammation: opportunities for therapeutic intervention.
119	10.1007/s00262-012-1389-z	Cancer immunology, immunotherapy : CII	2013-01-12	23306863	Inhibition of both BRAF and MEK in BRAF(V600E) mutant melanoma restores compromised dendritic cell (DC) function while having differential direct effects on DC properties.
120	10.1200/JCO.2012.43.5966	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	2012-12-19	23248257|17507627|22194965|22180178|22356324|22663011|21107320|18390968|18559533|12068308|16291983|21635872|22048237|20215549|1604065|20818844|16009947|21343559|19097774|21639808|22735384|20332327|21245089|22805292|21156289|21107323|22805291	Phase II study of the MEK1/MEK2 inhibitor Trametinib in patients with metastatic BRAF-mutant cutaneous melanoma previously treated with or without a BRAF inhibitor.
121	10.1007/s00280-012-1995-7	Cancer chemotherapy and pharmacology	2012-10-16	23064957	Oblimersen in combination with temozolomide and albumin-bound paclitaxel in patients with advanced melanoma: a phase I trial.
122	10.1007/s10637-012-9862-2	Investigational new drugs	2012-08-07	22864522|14571701|12618329|15143074|2702835|2212128|1522818|16234528|16774044|16787144|16966688|17145837|17096330|17869378|18473854|19934275|20351325|20525992|20818844|20808309|21152246|21642685|21639808|21639810|22472884|10561265|10561349|10623706|10655437|12359751|12592378|14770441	Phase I/II study of pegylated arginine deiminase (ADI-PEG 20) in patients with advanced melanoma.
123	10.1038/modpathol.2012.43	Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc	2012-03-20	22425909|719608|21647761|19132446|21953023|19604349|18941457|17058288|19553103|21741600|17327608|14530498|15240741|15254595|19117354|20525992|19966936|21054833|17371975|18413770|21151098|21258248|12020220|20570696|15494715|15671534|20207826|19917835|19915147|16977338|18004626|21316501|18313653|10071292|17675538	Immune response in melanoma: an in-depth analysis of the primary tumor and corresponding sentinel lymph node.
124	10.1159/000335000	Oncology	2012-01-25	22270052	Enrollment in clinical trials correlates with improved survival in metastatic melanoma.
125	10.2217/imt.10.99	Immunotherapy	2011-02-17	21322760|10910920|10955814|11238627|11312255|11443573|11568005|11698435|11861597|12130531|12052830|12154357|12407406|12544886|10202148|15542432|15591335|15657294|15454486|15585754|15572591|15756019|15778348|15776005|15746082|15940673|16177074|16179869|16237114|16151467|16507829|16461746|18794101|18927310|18848473|18981115|19005412|19074257|19190114|19197294|19276286|19244102|19276342|19277038|18841360|19390566|19464605|19538929|19761435|19741157|20061405|20060329|20060330|20304705|20406969|16670284|16723621|16757724|16801397|16838025|16873671|17121902|17182569|17215529|17215530|17277106|17277121|17513751|17579043|17376891|17671171|17699863|17724683|18192925|18227218|18316545|18180378|18421059|18270248|18453565|18326818|18310500|18337760|18492954|18650514|18510589|20573926|20013807|20551059|20530283|20616810|20525992|12577055|12631595|12531798|12586633|12805336|14688354|14688356|14504105|14976062|15024050|14715630|15268851|15190258|15286804|15100154|15466206|2568561|1721644|7854419|8756616|8837607|9059333|9834220|10072524|10201904|10537366|10561265	Small-molecule protein kinase inhibitors and their effects on the immune system: implications for cancer treatment.
126	10.1371/journal.pone.0015588	PloS one	2011-01-06	21206909|10561349|20818844|10655437|10945621|12068308|12873977|12873990|12960123|14500344|15208680|15466206|8939849|15781657|16291983|16424035|16507829|16731745|16880785|16908931|16966688|17215530|17384209|18235113|18287029|18421059|18445842|18458053|18532874|18650514|18510589|19188183|19349552|19917255|20130576|20179705|18751976|20372153|10623706	A phase II trial of sorafenib in metastatic melanoma with tissue correlates.
127	10.1016/j.soc.2010.10.001	Surgical oncology clinics of North America	2010-11-30	21111958	Surgical approach to primary cutaneous melanoma.
128	10.1634/theoncologist.2010-0067	The oncologist	2010-06-24	20571149|12068308|12209995|12417504|12454112|12508243|12542213|12744608|12925346|12943498|14522889|14522897|15034504|15262258|6026974|5763191|5477666|4554758|4853771|4137290|4528796|1143724|1096931|7468915|6164474|7306920|7096100|7128372|6961509|6744219|3978548|3744859|3747692|3813595|3580331|2440332|3419168|2765227|2317465|1698595|1989926|2055225|1612500|1404568|8302112|8169521|8174062|8041523|7977524|7851168|7560180|7589763|8567269|8933929|9005147|9194459|9195622|9338460|9421225|9663250|9724998|9781962|10496563|10506714|10506715|13149891|13585343|15625120|15651058|15839963|16291983|16317276|16908931|16966688|17235244|17349716|17372901|17659849|17972544|18066592|18376227|18421059|18427595|18568775|18510589|19047099|19128387|19496721|19525876|19718013|19917835|10561349|10620439|10623706|10745167|10764419|10775846|10840932|11129421|11395556|11504745|11555721|11592745|11606084|11733955|11891956|12054708	Mucosal melanomas: a case-based review of the literature.
129	10.1371/journal.pone.0008714	PloS one	2010-01-26	20098694|10655437|18780814|15091196|15151950|15457099|1970948|1673965|7997706|7654429|8523052|8999970|9013474|15735119|15756276|16278399|16314632|16586011|17594721|17606972|17606973|17606974|17457044|17968020|18296423|18755900|18644829|18446338|19075286|10799747	A phase II trial of the epothilone B analog ixabepilone (BMS-247550) in patients with metastatic melanoma.
130	10.1586/era.09.40	Expert review of anticancer therapy	2009-06-06	19496721	Novel therapeutics for melanoma.
131	10.1159/000219435	Chemotherapy	2009-05-20	19451711	Phase II trial of dacarbazine and thalidomide for the treatment of metastatic melanoma.
132	10.1016/j.clim.2007.05.012	Clinical immunology (Orlando, Fla.)	2007-07-17	17632036|10201913|16612374|15965491|10657635|10725731|10779776|11254738|11466353|11560993|11602637|11890616|12200067|12242444|12464571|12690202|12969552|14647476|14707071|14980436|15134772|15357943|6332146|2125367|1825981|8096238|8097338|8476563|7753171|7595228|7594516|8810254|8992980|9491999|9521319|9743334|9743552|9927507|16339526|16257061|10520991	The secretory IFN-gamma response of single CD4 memory cells after activation on different antigen presenting cell types.
133	10.1016/j.jneuroim.2005.09.004	Journal of neuroimmunology	2005-11-01	16257061	The cytokine signature of MOG-specific CD4 cells in the EAE of C57BL/6 mice.
134	10.1016/j.cellimm.2005.09.002	Cellular immunology	2005-11-01	16256965	IL-2 absorption affects IFN-gamma and IL-5, but not IL-4 producing memory T cells in double color cytokine ELISPOT assays.
135	10.1016/j.cellimm.2005.05.003	Cellular immunology	2005-08-27	16122720	CD4+CD25+ regulatory T cells control the progression from periinsulitis to destructive insulitis in murine autoimmune diabetes.
136	10.1016/j.clim.2004.12.005	Clinical immunology (Orlando, Fla.)	2005-05-05	15870028	Islet-cell antigen-reactive T cells show different expansion rates and Th1/Th2 differentiation in type 1 diabetic patients and healthy controls.
137	10.1016/j.jaut.2004.03.009	Journal of autoimmunity	2004-07-09	15236752	Increased in vivo frequency of IA-2 peptide-reactive IFNgamma+/IL-4- T cells in type 1 diabetic subjects.
138	10.1023/B:JOCI.0000029120.77824.41	Journal of clinical immunology	2004-05-28	15163889|10479395|10725731|11172025|3309126|11927947|10868936|11473034|11994372|8666914|7694152|1967440|9084973|7860747|9153283|11978633|9795763|11460579|8570667|7682817|7525393|8666144|12531872|10330297|8958223|2443575|11927616|10325232|7911924|2069944|11290812|1377368|7722468|9625765|9620678|10470079|7561070|7590815|10677521|2205920|11040068|10027571|1705279|1706385|11160133|8232539|12392292|10415074|9421467|9862731	T cells recognize multiple GAD65 and proinsulin epitopes in human type 1 diabetes, suggesting determinant spreading.
139	10.1016/j.jim.2003.12.007	Journal of immunological methods	2004-02-26	14980436	CD28 costimulation enhances the sensitivity of the ELISPOT assay for detection of antigen-specific memory effector CD4 and CD8 cell populations in human diseases.
140	10.1002/dmrr.320	Diabetes/metabolism research and reviews	2002-10-25	12397579	Cytokine detection by ELISPOT: relevance for immunological studies in type 1 diabetes.
141	10.3949/ccjm.66.10.601	Cleveland Clinic journal of medicine	1999-12-22	10598364	How physicians can help create useful clinical practice guidelines.
142	10.1016/s0735-1097(98)00081-3	Journal of the American College of Cardiology	1998-05-15	9581725	Cost of cardiac care in the three years after coronary catheterization in a contained care system: critical determinants and implications.
143	None	Schweizerische Monatsschrift fur Zahnheilkunde = Revue mensuelle suisse d'odonto-stomatologie	1973-02-01	4510298	[The superior genial tubercles in totally edentulous patients].
